OTU_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
otu53,Basidiomycota;Agaricomycetes;Boletales;Boletaceae;NA,Boletaceae,9,Pathotroph-Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Saprotroph-Wood Saprotroph,Probable,Boletoid,NULL,"Most species form ectomycorrhizal associations with gymnosperm or angiosperm trees. Some are saprobes on decaying wood and leaf litter, a few are parasitic on other fungi (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu55,Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius,Cortinarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu68,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu71,Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Tricharina,Tricharina,13,Saprotroph,Undefined Saprotroph,Probable,NULL,NULL,"Most if not all of the species in this genus appear to be saprotrophic, although at one point some species were thought to be ectomycorrhizal. The history can be traced back: Rinaldi et al. (2008) cited Agerer (2006), who cited Ingleby et al. (1990), a report that had been based upon a description of ECM formed by Tricharina gilva. The report of Ingleby et al. (1990) was actually based upon a misidentification, as Egger (1996) sequenced dried ascocarp material obtained from Kevin Ingleby and found it to be Wilcoxina mikolae, which is known to form E-strain ECM."," Egger KN. 1996. Canadian Journal of Botany 74:773-779; Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33:1-45 (ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html (ECM)"
otu73,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu74,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu78,Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Humaria,Humaria,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu89,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu90,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Pseudotomentella,Pseudotomentella,13,Symbiotroph,Ectomycorrhizal,Possible,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html"
otu117,NA;NA;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
